,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palauta raportti pian>,29,0.0,19.5,11.69045194450012,34.89110290202533,8.884684212187816,1.45,3.720697480794394,6.85,2.646235836535381,5.225,11.323874257740952,0.725,0.7156671622894871,1.0,1.0377490433255416,0.7090389797813101,0.12386412266663144,38.625,22.43473440208971,112.41743906749423,19.312877458262413,249.86019660549618,2.1860176530400395,0.675,0.47434164902525683,0.15,0.36162028533978946,68.96525113490483,28.98715077928501
pidä minut ajan tasalla>,36,0.0,19.5,11.69045194450012,30.93797437834479,11.274474721853672,5.125,6.965804755908387,6.675,3.2846769345100846,7.75,11.868402350736782,0.325,0.5723321610429581,1.5,1.1547005383792515,0.640452634237316,0.1540078214819439,41.675,25.683864534682034,98.42652304505546,33.33190472806324,249.0394448922961,2.6403068250228308,0.35,0.4830458915396479,0.475,0.5057363253408151,82.60789245162991,37.1235545780489
pitääkö meidän jutella>,52,0.0,19.5,11.69045194450012,32.546793661970305,10.856087839014698,3.25,5.851802264566853,6.425,2.31923395841087,6.975,11.634360031103274,0.5,0.554700196225229,1.2,1.1140133037920334,0.6490182296536514,0.15587472729519355,41.15,23.345289976836103,91.71050940689565,28.612694186205797,248.39077836092946,1.7976438916317814,0.575,0.5006406152531231,0.275,0.4522025867763026,83.0629500995195,35.31800829203137
pitääkö minun ajaa autoa>,51,0.0,19.5,11.69045194450012,35.70332218833376,8.59084387889386,5.1,9.87304021448931,6.55,2.978125378359811,4.35,6.43926257921686,0.575,0.8129559864454138,1.0,1.0127393670836666,0.6824526517058269,0.1339580188897066,38.1,19.16701225998353,92.9764075671394,34.57095861475604,248.75243019538954,1.5867057396519446,0.5,0.5063696835418333,0.325,0.4743416490252569,74.2632602111817,29.83433008654772
puhutaan maanantaina>,28,0.0,19.5,11.69045194450012,34.971063538438074,10.16843709050571,1.35,3.9128322747412017,6.75,3.0361074944653583,5.15,8.934376135079434,0.525,0.7156671622894871,1.05,1.2393132920684082,0.6455209256511113,0.12376209661247822,37.175,19.199208717668945,102.55016122526408,25.144236443605354,249.5080709461578,1.864905720638139,0.575,0.5006406152531231,0.2,0.40509574683346666,85.21800027569056,28.519710672031206
pääsen perille tunnissa>,14,0.0,19.5,11.69045194450012,29.90257309589746,10.736320054741304,3.2,6.925241826750482,7.625,2.6668669796559943,7.175,6.1514538619243995,0.8,0.8227533512074423,1.825,1.6154304022815047,0.5769232965022543,0.1208794302924171,43.475,16.743904363479068,97.93668058781843,35.14838844514122,247.83150654260493,1.3741272863283533,0.7,0.46409548089225705,0.225,0.4229020617662603,100.89831824606787,27.018941398114332
se on tavanomaista>,63,0.0,19.5,11.69045194450012,32.012898040461685,11.415024641942969,2.325,4.9114596503927315,5.625,2.3932329812544584,5.75,9.507756617490578,0.375,0.6674674677561601,1.3,1.4884168150705017,0.684968236470744,0.1748638840551214,34.3,21.082499730150474,96.37600429858779,40.17868693664517,249.88082967332093,3.227982685151749,0.625,0.49029033784546017,0.225,0.42290206176626033,75.28332557835097,38.03112411714945
se tuli tarpeeseen>,53,0.0,19.5,11.69045194450012,31.84595835801329,10.883579065374033,2.9,6.483905122765574,6.325,3.3002525155912945,6.8,11.33001459704403,0.7,0.7232405706795791,1.275,1.4139869074213434,0.6010203526605397,0.13210829419428127,37.725,27.42447671473283,75.82100412421127,32.36321054443783,247.38366369856044,2.1809971339711143,0.625,0.4902903378454601,0.225,0.4229020617662603,91.30668755769207,29.93093911677302
soita hänelle huomenna>,54,0.0,19.5,11.69045194450012,31.720287122957565,11.898197031207056,3.2,5.914779402870016,7.65,3.717939876205225,10.25,17.414626920184958,0.725,0.8161039400870707,1.325,1.3660254906207432,0.6342445379339783,0.16627572575434948,48.7,36.6145550433928,106.75178555176656,34.53727642706579,249.09741330705884,2.129246038079901,0.5,0.5063696835418332,0.325,0.47434164902525683,91.28567235720337,39.19030442947322
soitan sinulle aamulla>,31,0.0,19.5,11.69045194450012,31.866057860608056,12.678670844303818,4.2,7.317698951768782,6.8,2.4305744810007996,6.475,10.561146742320199,0.5,0.816496580927726,1.175,1.0098870208452997,0.6185417869876167,0.143282888643505,38.975,20.175496054016644,95.09388378104087,30.861570377313097,250.93876068253826,7.042282374727312,0.525,0.505736325340815,0.275,0.4522025867763026,92.70819771461883,34.963584687356324
